paarcode,g_1,g_2,age_1,age_2,civil_status_1,civil_status_2,duration_months_1,duration_months_2,n_m_1,n_m_2,n_e_1,n_e_2,n_o_1,n_o_2,n_a_1,n_a_2,n_c_1,n_c_2,mean_relationship_satisfaction_1,mean_relationship_satisfaction_2,mean_relationship_satisfaction_T2_1,mean_relationship_satisfaction_T2_2,pooled_standardized_n_1,pooled_standardized_n_2,pooled_standardized_e_1,pooled_standardized_e_2,pooled_standardized_o_1,pooled_standardized_o_2,pooled_standardized_a_1,pooled_standardized_a_2,pooled_standardized_c_1,pooled_standardized_c_2,pooled_standardized_relationship_satisfaction_1,pooled_standardized_relationship_satisfaction_2,pooled_standardized_relationship_satisfaction_T2_1,pooled_standardized_relationship_satisfaction_T2_2
47,1,2,57,57,2,2,351,351,3,2,5,4,3,4,4,4,5,4,5,4,,,-0.58,-0.28,1.49,0.69,-0.46,0.76,0.2,0.88,1.65,-0.11,1.02,-0.46,,
48,1,2,19,20,1,1,13,13,4,4,4,4,3,3,3,3,3,4,5,5,5,5,1.01,1.49,0.21,0.51,-0.46,-0.49,-1.68,-0.79,-1.99,-0.3,1.25,1.12,1.23,1.13
49,1,2,53,58,2,2,269,269,4,2,5,4,4,3,4,4,4,3,5,4,4.43,4,0.84,-0.23,1.13,0.14,0.61,-1.21,-0.26,1.3,-0.07,-1.07,0.57,-0.92,0.28,-0.54
50,1,2,77,83,2,2,657,657,3,2,5,4,5,3,4,4,5,4,3,3,,,-0.23,-0.28,1.67,0.87,1.51,-0.49,-0.84,-0.37,1.07,-0.68,-1.92,-1.6,,
51,1,2,53,56,2,2,316,316,2,3,3,4,3,4,4,4,5,4,3,4,,,-1.47,0.78,-0.51,0.33,-0.64,-0.31,-0.22,0.04,1.07,-0.49,-1.69,-0.92,,
52,1,2,22,23,1,1,8,8,3,3,4,3,4,4,4,4,4,3,5,5,5,4.57,-0.58,0.78,0.58,-0.95,0.44,0.94,0.62,1.09,0.69,-1.45,1.25,0.44,1.23,0.42
53,1,2,20,19,1,1,7,7,4,4,3,3,4,4,3,3,4,4,4,5,,,1.55,1.67,-0.51,-0.59,0.97,0.22,-2.09,-2.25,0.12,0.08,0.34,1.12,,
54,1,2,52,55,2,2,357,357,4,2,3,4,5,4,3,4,4,3,3,4,,,1.55,-0.99,-0.51,0.33,1.87,0.4,-1.05,0.04,-0.07,-1.21,-1.47,-0.92,,
55,1,2,48,47,2,2,294,294,2,3,5,3,4,3,5,4,5,4,5,5,4.86,4.71,-1.47,0.43,1.86,-0.4,0.79,-1.39,1.87,1.09,1.65,-0.68,1.25,0.67,1,0.65
56,1,2,78,79,2,2,691,691,3,3,3,4,3,3,4,4,4,4,5,4,,,-0.41,1.32,-1.24,0.14,-1.89,-0.85,0.2,-0.16,0.12,0.08,0.57,-0.01,,
